episode,total_reward,avg_actor_loss,avg_critic_loss,epsilon
0,-1413.388969169212,-0.02534601464867592,1.1123031377792358,0.15
1,-1953.5657406248688,-0.03726079314947128,0.4855961203575134,0.15
2,-898.5329823953668,-0.02509237267076969,0.4299181401729584,0.15
3,-590.9107004133159,-0.013796507380902767,0.5087922811508179,0.15
4,-2452.695224061579,-0.02406587079167366,0.3318709135055542,0.15
5,-2103.85596491709,-0.024090340360999107,0.3292658030986786,0.15
6,-868.4488311017989,-0.004341354593634605,0.48141753673553467,0.15
7,-1479.4944753723255,-0.0188166331499815,0.4936947822570801,0.15
8,263.72395562147494,-0.004793597385287285,0.47690245509147644,0.15
9,-1765.22532041153,-0.017518777400255203,0.37315356731414795,0.15
10,-2539.406886929469,0.003221718594431877,0.3516576588153839,0.15
11,-2172.8809549058183,-0.0007054172456264496,0.3315195143222809,0.15
12,-917.4411314635574,0.01299634575843811,0.3597019612789154,0.15
13,-1412.3262180914462,-0.013640392571687698,0.3378220498561859,0.15
14,-942.4667958313238,-0.007741166278719902,0.5653166174888611,0.15
15,247.32943771740574,-0.012959531508386135,0.5122893452644348,0.15
16,-108.34932375884853,-0.005751499906182289,0.5166953206062317,0.15
17,-1806.9690533281023,-0.00804978422820568,0.5566777586936951,0.15
18,-985.9226124167036,-0.008239375427365303,0.6500610113143921,0.15
19,-752.0785067800558,-0.007019495591521263,0.45133084058761597,0.15
20,-1521.9773184352946,-0.008708231151103973,0.4568091630935669,0.15
21,-882.373586766204,0.014074383303523064,0.6526524424552917,0.15
22,-677.7396416052641,-0.0047953762114048,0.4551236033439636,0.15
23,-1717.6097273447576,-0.005550216883420944,0.4669478237628937,0.15
24,-971.2846440364258,0.008063636720180511,0.6424235701560974,0.15
25,-944.5731709433595,0.002086436375975609,0.6374202966690063,0.15
