episode,rmse_error,mean_jerk,roughness_proxy,mean_velocity,max_error,mean_kcm_intervention,steps,progress
0,0.03155648506178827,16720.00007910861,4579972.800016403,0.9667456476362767,0.03969890801049696,1.112006324612949,432,0.99
1,0.0416494687474287,14365.616861142611,4249270.155727863,0.8990628346016533,0.05010779860780671,1.0108067988054892,475,1.0
2,0.03477382478410671,15407.449219908032,3882696.79248333,0.9919227099134809,0.05562320017635992,1.0134379282305246,420,1.0
3,0.02054604104789709,14880.611989915986,4384560.508728027,0.8411385222808602,0.0325881210517239,1.1080550640027305,485,0.99
4,0.051186712936296445,15559.55253684201,4535471.335053444,0.8273572111609339,0.0658056275157611,1.0538602580908611,522,1.0
5,0.050468228953692136,15394.348503446476,4450375.842452049,0.9276020241736336,0.07341283585314491,1.0727290728549501,463,1.0
6,0.02459245268469471,14229.86597171712,3933465.636372566,0.9613790529533628,0.03768315258147408,1.1252135531411462,427,0.99
7,0.03297381773014849,16252.020477704262,4289340.718388557,0.9583659866084792,0.04365729295199128,1.0495298747080108,438,0.99
8,0.011598150186665442,15404.284615388418,3796023.669242859,0.9826578921239941,0.016605948760273836,0.9580198399176485,409,0.99
9,0.04146925474857965,14798.368223543677,4110904.721021652,0.9499887619167566,0.0566098868944003,1.0123943029891014,448,1.0
10,0.052841959113364784,14718.188393140781,4467642.083764076,0.9074027834464011,0.060121476225308154,1.1708869641370314,481,1.0
11,0.05203539487809544,15269.531659056654,4526758.512854576,0.9576427770399414,0.0647020064215179,1.1109802679314833,452,1.0
12,0.030278566056364538,17090.953252479143,4326469.148099422,1.0199101201313383,0.04495968431234413,1.0991024249142654,408,1.0
13,0.03332847472890873,15105.178373238063,4383993.559479713,0.9270753802050578,0.04718165032418799,1.042549140859158,454,1.0
14,0.022492047544737877,15422.129803055885,4409472.352266312,0.9224059379074131,0.02951469814930785,1.139446079692971,447,0.99
15,0.013918913887284995,15621.472428613733,3965558.8603019714,0.9396261074275614,0.021845861583918973,1.0151084154182903,428,0.99
16,0.01296747937525963,16006.870427763606,4263844.593167305,0.9722263215536094,0.01854164742870292,1.0842201829142142,415,0.99
17,0.03553937654537018,16513.871378193366,4888187.439441681,0.9343252592528892,0.04305667809978377,1.099345768128651,453,0.99
18,0.023450005895981844,15840.539543832083,4195943.230390549,0.9792315668263142,0.027281638085842264,0.9993723437456019,422,0.99
19,0.03181677432552367,16293.707899572724,4166008.2161426544,0.9884441002709041,0.0515710050827352,0.9515063737252007,422,1.0
20,0.04056504836132596,16859.42448133772,4655220.986008644,0.9641434356570244,0.058402196324142716,1.0344461562421925,440,1.0
21,0.021626066808483675,17525.75838849658,4510265.78605175,0.9766573923684302,0.027459810318931986,1.0691496847415445,420,0.99
22,0.02713418213070585,17220.153494461163,4735389.671325684,0.9316828624756487,0.04493696806479062,0.9836881195710022,444,1.0
23,0.0376725034211774,16059.94092851684,4406035.897135735,0.9185221046531175,0.04717691481113464,0.9764915355572947,463,1.0
24,0.02508162236556328,17393.12606010479,4436389.95051384,0.9099617447810984,0.034915308913481075,0.9571660248158564,453,0.99
25,0.027794488991259404,16167.004722537416,4651854.380369186,0.9668535832619611,0.039004171998559205,0.9667209514477264,429,0.99
